cuda:0
Files already downloaded and verified
Files already downloaded and verified
Let's use 4 GPUs!
Number of GPUS :4
Epoch 1 Training Accuracy: 6.888%
Epoch 2 Training Accuracy: 14.038%
Epoch 3 Training Accuracy: 18.778%
Epoch 4 Training Accuracy: 22.262%
Epoch 5 Training Accuracy: 26.034%
Epoch 6 Training Accuracy: 29.422%
Epoch 7 Training Accuracy: 32.208%
Epoch 8 Training Accuracy: 35.268%
Epoch 9 Training Accuracy: 38.586%
Epoch 10 Training Accuracy: 41.38%
Epoch 11 Training Accuracy: 44.068%
Epoch 12 Training Accuracy: 47.174%
Epoch 13 Training Accuracy: 50.292%
Epoch 14 Training Accuracy: 53.468%
Epoch 15 Training Accuracy: 56.6%
Epoch 16 Training Accuracy: 59.25%
Epoch 17 Training Accuracy: 62.498%
Epoch 18 Training Accuracy: 65.43%
Epoch 19 Training Accuracy: 67.97%
Epoch 20 Training Accuracy: 70.778%
Epoch 21 Training Accuracy: 73.432%
Epoch 22 Training Accuracy: 76.414%
Epoch 23 Training Accuracy: 78.612%
Epoch 24 Training Accuracy: 80.71%
Epoch 25 Training Accuracy: 82.826%
Epoch 26 Training Accuracy: 84.734%
Epoch 27 Training Accuracy: 86.366%
Epoch 28 Training Accuracy: 87.378%
Epoch 29 Training Accuracy: 88.358%
Epoch 30 Training Accuracy: 89.788%
Epoch 31 Training Accuracy: 90.83%
Epoch 32 Training Accuracy: 91.556%
Epoch 33 Training Accuracy: 93.086%
Epoch 34 Training Accuracy: 93.604%
Epoch 35 Training Accuracy: 93.466%
Epoch 36 Training Accuracy: 94.02%
Epoch 37 Training Accuracy: 94.984%
Epoch 38 Training Accuracy: 95.318%
Epoch 39 Training Accuracy: 95.372%
Epoch 40 Training Accuracy: 95.484%
Epoch 41 Training Accuracy: 96.03%
Epoch 42 Training Accuracy: 96.34%
Epoch 43 Training Accuracy: 96.92%
Epoch 44 Training Accuracy: 97.098%
Epoch 45 Training Accuracy: 97.026%
Epoch 46 Training Accuracy: 96.824%
Epoch 47 Training Accuracy: 96.904%
Epoch 48 Training Accuracy: 97.348%
Epoch 49 Training Accuracy: 97.644%
Epoch 50 Training Accuracy: 97.648%
Epoch 51 Training Accuracy: 97.692%
Epoch 52 Training Accuracy: 97.792%
Epoch 53 Training Accuracy: 97.87%
Epoch 54 Training Accuracy: 97.864%
Epoch 55 Training Accuracy: 97.822%
Epoch 56 Training Accuracy: 98.256%
Epoch 57 Training Accuracy: 98.258%
Epoch 58 Training Accuracy: 98.536%
Epoch 59 Training Accuracy: 98.456%
Epoch 60 Training Accuracy: 98.528%
Epoch 61 Training Accuracy: 98.54%
Epoch 62 Training Accuracy: 98.72%
Epoch 63 Training Accuracy: 98.406%
Epoch 64 Training Accuracy: 98.456%
Epoch 65 Training Accuracy: 98.764%
Epoch 66 Training Accuracy: 98.476%
Epoch 67 Training Accuracy: 98.606%
Epoch 68 Training Accuracy: 98.512%
Epoch 69 Training Accuracy: 98.658%
Epoch 70 Training Accuracy: 98.694%
Epoch 71 Training Accuracy: 98.904%
Epoch 72 Training Accuracy: 98.846%
Epoch 73 Training Accuracy: 98.996%
Epoch 74 Training Accuracy: 98.9%
Epoch 75 Training Accuracy: 98.962%
Epoch 76 Training Accuracy: 98.974%
Epoch 77 Training Accuracy: 98.99%
Epoch 78 Training Accuracy: 99.018%
Epoch 79 Training Accuracy: 98.982%
Epoch 80 Training Accuracy: 98.998%
Epoch 81 Training Accuracy: 99.03%
Epoch 82 Training Accuracy: 99.178%
Epoch 83 Training Accuracy: 99.088%
Epoch 84 Training Accuracy: 98.968%
Epoch 85 Training Accuracy: 99.018%
Epoch 86 Training Accuracy: 99.122%
Epoch 87 Training Accuracy: 99.152%
