cuda:0
Files already downloaded and verified
Files already downloaded and verified
Let's use 2 GPUs!
Number of GPUS :2
Epoch 1 Training Accuracy: 37.108%
Epoch 2 Training Accuracy: 49.828%
Epoch 3 Training Accuracy: 56.286%
Epoch 4 Training Accuracy: 61.706%
Epoch 5 Training Accuracy: 65.638%
Epoch 6 Training Accuracy: 69.078%
Epoch 7 Training Accuracy: 72.666%
Epoch 8 Training Accuracy: 75.792%
Epoch 9 Training Accuracy: 78.274%
Epoch 10 Training Accuracy: 80.84%
Epoch 11 Training Accuracy: 83.41%
Epoch 12 Training Accuracy: 85.248%
Epoch 13 Training Accuracy: 87.136%
Epoch 14 Training Accuracy: 89.222%
Epoch 15 Training Accuracy: 90.334%
Epoch 16 Training Accuracy: 91.738%
Epoch 17 Training Accuracy: 92.804%
Epoch 18 Training Accuracy: 93.504%
Epoch 19 Training Accuracy: 93.854%
Epoch 20 Training Accuracy: 94.972%
Epoch 21 Training Accuracy: 95.192%
Epoch 22 Training Accuracy: 95.408%
Epoch 23 Training Accuracy: 96.116%
Epoch 24 Training Accuracy: 96.592%
Epoch 25 Training Accuracy: 96.902%
Epoch 26 Training Accuracy: 97.03%
Epoch 27 Training Accuracy: 97.114%
Epoch 28 Training Accuracy: 97.508%
Epoch 29 Training Accuracy: 97.742%
Epoch 30 Training Accuracy: 97.932%
Epoch 31 Training Accuracy: 97.658%
Epoch 32 Training Accuracy: 97.838%
Epoch 33 Training Accuracy: 97.84%
Epoch 34 Training Accuracy: 98.392%
Epoch 35 Training Accuracy: 98.38%
Epoch 36 Training Accuracy: 98.766%
Epoch 37 Training Accuracy: 98.806%
Epoch 38 Training Accuracy: 98.586%
Epoch 39 Training Accuracy: 98.686%
Epoch 40 Training Accuracy: 98.834%
Epoch 41 Training Accuracy: 98.898%
Epoch 42 Training Accuracy: 99.062%
Epoch 43 Training Accuracy: 98.886%
Epoch 44 Training Accuracy: 98.718%
Epoch 45 Training Accuracy: 99.044%
Epoch 46 Training Accuracy: 99.194%
Epoch 47 Training Accuracy: 99.232%
Epoch 48 Training Accuracy: 99.154%
Epoch 49 Training Accuracy: 99.146%
Epoch 50 Training Accuracy: 99.392%
Epoch 51 Training Accuracy: 99.324%
Epoch 52 Training Accuracy: 98.752%
Epoch 53 Training Accuracy: 99.254%
Epoch 54 Training Accuracy: 99.498%
Epoch 55 Training Accuracy: 99.474%
Epoch 56 Training Accuracy: 99.582%
Epoch 57 Training Accuracy: 99.204%
Epoch 58 Training Accuracy: 99.312%
Epoch 59 Training Accuracy: 99.552%
Epoch 60 Training Accuracy: 99.356%
Epoch 61 Training Accuracy: 99.236%
Epoch 62 Training Accuracy: 99.238%
Epoch 63 Training Accuracy: 99.378%
Epoch 64 Training Accuracy: 99.446%
Epoch 65 Training Accuracy: 99.532%
Epoch 66 Training Accuracy: 99.386%
Epoch 67 Training Accuracy: 99.47%
Epoch 68 Training Accuracy: 99.624%
Epoch 69 Training Accuracy: 99.566%
Epoch 70 Training Accuracy: 99.64%
Epoch 71 Training Accuracy: 99.656%
Epoch 72 Training Accuracy: 99.45%
Epoch 73 Training Accuracy: 99.58%
Epoch 74 Training Accuracy: 99.576%
Epoch 75 Training Accuracy: 99.752%
Epoch 76 Training Accuracy: 99.606%
Epoch 77 Training Accuracy: 99.692%
Epoch 78 Training Accuracy: 99.626%
Epoch 79 Training Accuracy: 99.764%
Epoch 80 Training Accuracy: 99.57%
Epoch 81 Training Accuracy: 99.12%
Epoch 82 Training Accuracy: 99.656%
Epoch 83 Training Accuracy: 99.702%
Epoch 84 Training Accuracy: 99.804%
Epoch 85 Training Accuracy: 99.664%
Epoch 86 Training Accuracy: 99.706%
Epoch 87 Training Accuracy: 99.78%
Epoch 88 Training Accuracy: 99.606%
Epoch 89 Training Accuracy: 99.808%
Epoch 90 Training Accuracy: 99.752%
Epoch 91 Training Accuracy: 99.802%
Epoch 92 Training Accuracy: 99.596%
Epoch 93 Training Accuracy: 99.62%
Epoch 94 Training Accuracy: 99.574%
Epoch 95 Training Accuracy: 99.716%
Epoch 96 Training Accuracy: 99.786%
Epoch 97 Training Accuracy: 99.678%
Epoch 98 Training Accuracy: 99.802%
Epoch 99 Training Accuracy: 99.842%
Epoch 100 Training Accuracy: 99.88%
Finished Training
Training Time : 7421.684655189514
Final Training Loss: 0.004997704151037978
Final Training Accuracy: 99.88%
Memory used for training: 2945762 Bytes
Saving the model as ResNet_CIFAR10_2GPUs.pth
