cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 11.596%
Epoch 2 Training Accuracy: 27.454%
Epoch 3 Training Accuracy: 37.48%
Epoch 4 Training Accuracy: 42.87%
Epoch 5 Training Accuracy: 46.022%
Epoch 6 Training Accuracy: 48.442%
Epoch 7 Training Accuracy: 51.102%
Epoch 8 Training Accuracy: 53.68%
Epoch 9 Training Accuracy: 55.816%
Epoch 10 Training Accuracy: 57.862%
Epoch 11 Training Accuracy: 59.68%
Epoch 12 Training Accuracy: 61.316%
Epoch 13 Training Accuracy: 62.828%
Epoch 14 Training Accuracy: 64.036%
Epoch 15 Training Accuracy: 65.516%
Epoch 16 Training Accuracy: 66.686%
Epoch 17 Training Accuracy: 67.652%
Epoch 18 Training Accuracy: 68.852%
Epoch 19 Training Accuracy: 69.704%
Epoch 20 Training Accuracy: 70.896%
Epoch 21 Training Accuracy: 71.448%
Epoch 22 Training Accuracy: 72.296%
Epoch 23 Training Accuracy: 73.304%
Epoch 24 Training Accuracy: 74.012%
Epoch 25 Training Accuracy: 74.816%
Epoch 26 Training Accuracy: 75.508%
Epoch 27 Training Accuracy: 75.972%
Epoch 28 Training Accuracy: 76.758%
Epoch 29 Training Accuracy: 77.61%
Epoch 30 Training Accuracy: 78.416%
Epoch 31 Training Accuracy: 79.002%
Epoch 32 Training Accuracy: 79.628%
Epoch 33 Training Accuracy: 80.416%
Epoch 34 Training Accuracy: 80.8%
Epoch 35 Training Accuracy: 81.322%
Epoch 36 Training Accuracy: 81.97%
Epoch 37 Training Accuracy: 82.424%
Epoch 38 Training Accuracy: 83.326%
Epoch 39 Training Accuracy: 83.952%
Epoch 40 Training Accuracy: 84.274%
Epoch 41 Training Accuracy: 85.13%
Epoch 42 Training Accuracy: 85.544%
Epoch 43 Training Accuracy: 86.176%
Epoch 44 Training Accuracy: 86.87%
Epoch 45 Training Accuracy: 87.512%
Epoch 46 Training Accuracy: 87.768%
Epoch 47 Training Accuracy: 88.628%
Epoch 48 Training Accuracy: 89.002%
Epoch 49 Training Accuracy: 89.674%
Epoch 50 Training Accuracy: 89.976%
Epoch 51 Training Accuracy: 90.66%
Epoch 52 Training Accuracy: 91.304%
Epoch 53 Training Accuracy: 91.502%
Epoch 54 Training Accuracy: 92.114%
Epoch 55 Training Accuracy: 92.638%
Epoch 56 Training Accuracy: 93.342%
Epoch 57 Training Accuracy: 93.578%
Epoch 58 Training Accuracy: 94.038%
Epoch 59 Training Accuracy: 94.362%
Epoch 60 Training Accuracy: 95.058%
Epoch 61 Training Accuracy: 95.14%
Epoch 62 Training Accuracy: 95.904%
Epoch 63 Training Accuracy: 96.134%
Epoch 64 Training Accuracy: 96.258%
Epoch 65 Training Accuracy: 96.71%
Epoch 66 Training Accuracy: 96.958%
Epoch 67 Training Accuracy: 97.322%
Epoch 68 Training Accuracy: 97.82%
Epoch 69 Training Accuracy: 97.584%
Epoch 70 Training Accuracy: 97.916%
Epoch 71 Training Accuracy: 98.722%
Epoch 72 Training Accuracy: 99.234%
Epoch 73 Training Accuracy: 99.298%
Epoch 74 Training Accuracy: 99.63%
Epoch 75 Training Accuracy: 99.894%
Epoch 76 Training Accuracy: 99.932%
Epoch 77 Training Accuracy: 99.956%
Epoch 78 Training Accuracy: 99.97%
Epoch 79 Training Accuracy: 99.986%
Epoch 80 Training Accuracy: 99.988%
Epoch 81 Training Accuracy: 99.976%
Epoch 82 Training Accuracy: 99.996%
Epoch 83 Training Accuracy: 99.992%
Epoch 84 Training Accuracy: 99.996%
Epoch 85 Training Accuracy: 99.992%
Epoch 86 Training Accuracy: 100.0%
Epoch 87 Training Accuracy: 100.0%
Epoch 88 Training Accuracy: 99.996%
Epoch 89 Training Accuracy: 100.0%
Epoch 90 Training Accuracy: 100.0%
Epoch 91 Training Accuracy: 99.998%
Epoch 92 Training Accuracy: 100.0%
Epoch 93 Training Accuracy: 100.0%
Epoch 94 Training Accuracy: 100.0%
Epoch 95 Training Accuracy: 100.0%
Epoch 96 Training Accuracy: 100.0%
Epoch 97 Training Accuracy: 100.0%
Epoch 98 Training Accuracy: 100.0%
Epoch 99 Training Accuracy: 100.0%
Epoch 100 Training Accuracy: 100.0%
Finished Training
Training Time : 1906.6278574466705
Final Training Loss: 0.0017084004261436851
Final Training Accuracy: 100.0%
Memory used for training: 2199551 Bytes
Saving the model as CNN_CIFAR10_100_2GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 71.74%
Test Loss: 2.5284918789650983
