cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 0.966%
Epoch 2 Training Accuracy: 0.918%
Epoch 3 Training Accuracy: 1.792%
Epoch 4 Training Accuracy: 4.67%
Epoch 5 Training Accuracy: 8.874%
Epoch 6 Training Accuracy: 11.88%
Epoch 7 Training Accuracy: 13.844%
Epoch 8 Training Accuracy: 15.924%
Epoch 9 Training Accuracy: 17.868%
Epoch 10 Training Accuracy: 19.688%
Epoch 11 Training Accuracy: 21.662%
Epoch 12 Training Accuracy: 23.636%
Epoch 13 Training Accuracy: 25.064%
Epoch 14 Training Accuracy: 26.534%
Epoch 15 Training Accuracy: 28.14%
Epoch 16 Training Accuracy: 29.778%
Epoch 17 Training Accuracy: 31.214%
Epoch 18 Training Accuracy: 32.722%
Epoch 19 Training Accuracy: 33.894%
Epoch 20 Training Accuracy: 35.366%
Epoch 21 Training Accuracy: 36.22%
Epoch 22 Training Accuracy: 37.472%
Epoch 23 Training Accuracy: 38.778%
Epoch 24 Training Accuracy: 39.944%
Epoch 25 Training Accuracy: 40.96%
Epoch 26 Training Accuracy: 41.946%
Epoch 27 Training Accuracy: 42.834%
Epoch 28 Training Accuracy: 43.916%
Epoch 29 Training Accuracy: 44.706%
Epoch 30 Training Accuracy: 45.744%
Epoch 31 Training Accuracy: 46.622%
Epoch 32 Training Accuracy: 47.712%
Epoch 33 Training Accuracy: 48.262%
Epoch 34 Training Accuracy: 49.156%
Epoch 35 Training Accuracy: 49.94%
Epoch 36 Training Accuracy: 51.082%
Epoch 37 Training Accuracy: 51.736%
Epoch 38 Training Accuracy: 52.608%
Epoch 39 Training Accuracy: 53.556%
Epoch 40 Training Accuracy: 54.118%
Epoch 41 Training Accuracy: 55.216%
Epoch 42 Training Accuracy: 55.806%
Epoch 43 Training Accuracy: 56.526%
Epoch 44 Training Accuracy: 57.266%
Epoch 45 Training Accuracy: 58.058%
Epoch 46 Training Accuracy: 58.606%
Epoch 47 Training Accuracy: 59.712%
Epoch 48 Training Accuracy: 60.594%
Epoch 49 Training Accuracy: 60.95%
Epoch 50 Training Accuracy: 61.612%
Epoch 51 Training Accuracy: 62.702%
Epoch 52 Training Accuracy: 63.488%
Epoch 53 Training Accuracy: 64.228%
Epoch 54 Training Accuracy: 64.846%
Epoch 55 Training Accuracy: 65.574%
Epoch 56 Training Accuracy: 66.134%
Epoch 57 Training Accuracy: 66.97%
Epoch 58 Training Accuracy: 67.548%
Epoch 59 Training Accuracy: 68.68%
Epoch 60 Training Accuracy: 69.082%
Epoch 61 Training Accuracy: 69.614%
Epoch 62 Training Accuracy: 70.522%
Epoch 63 Training Accuracy: 70.884%
Epoch 64 Training Accuracy: 71.428%
Epoch 65 Training Accuracy: 72.12%
Epoch 66 Training Accuracy: 73.138%
Epoch 67 Training Accuracy: 73.51%
Epoch 68 Training Accuracy: 74.196%
Epoch 69 Training Accuracy: 75.142%
Epoch 70 Training Accuracy: 75.188%
Epoch 71 Training Accuracy: 75.59%
Epoch 72 Training Accuracy: 76.622%
Epoch 73 Training Accuracy: 76.942%
Epoch 74 Training Accuracy: 77.786%
Epoch 75 Training Accuracy: 78.09%
Epoch 76 Training Accuracy: 78.126%
Epoch 77 Training Accuracy: 79.234%
Epoch 78 Training Accuracy: 79.47%
Epoch 79 Training Accuracy: 80.124%
Epoch 80 Training Accuracy: 80.59%
Epoch 81 Training Accuracy: 81.412%
Epoch 82 Training Accuracy: 81.506%
Epoch 83 Training Accuracy: 82.016%
Epoch 84 Training Accuracy: 82.322%
Epoch 85 Training Accuracy: 82.616%
Epoch 86 Training Accuracy: 83.348%
Epoch 87 Training Accuracy: 83.574%
Epoch 88 Training Accuracy: 84.24%
Epoch 89 Training Accuracy: 84.286%
Epoch 90 Training Accuracy: 84.782%
Epoch 91 Training Accuracy: 85.492%
Epoch 92 Training Accuracy: 85.49%
Epoch 93 Training Accuracy: 85.554%
Epoch 94 Training Accuracy: 86.56%
Epoch 95 Training Accuracy: 86.794%
Epoch 96 Training Accuracy: 87.026%
Epoch 97 Training Accuracy: 87.71%
Epoch 98 Training Accuracy: 87.648%
Epoch 99 Training Accuracy: 88.1%
Epoch 100 Training Accuracy: 88.242%
Finished Training
Training Time : 1495.690017938614
Final Training Loss: 0.355474389070059
Final Training Accuracy: 88.242%
Memory used for training: 2192541 Bytes
Saving the model as CNN_CIFAR100_100_2GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 34.4%
Test Loss: 6.2811566963317285
