cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 27.648%
Epoch 2 Training Accuracy: 39.112%
Epoch 3 Training Accuracy: 45.312%
Epoch 4 Training Accuracy: 50.2%
Epoch 5 Training Accuracy: 54.318%
Epoch 6 Training Accuracy: 57.956%
Epoch 7 Training Accuracy: 61.132%
Epoch 8 Training Accuracy: 64.642%
Epoch 9 Training Accuracy: 67.588%
Epoch 10 Training Accuracy: 70.322%
Epoch 11 Training Accuracy: 72.842%
Epoch 12 Training Accuracy: 75.804%
Epoch 13 Training Accuracy: 78.37%
Epoch 14 Training Accuracy: 80.82%
Epoch 15 Training Accuracy: 82.712%
Epoch 16 Training Accuracy: 84.7%
Epoch 17 Training Accuracy: 86.188%
Epoch 18 Training Accuracy: 87.272%
Epoch 19 Training Accuracy: 88.89%
Epoch 20 Training Accuracy: 89.91%
Epoch 21 Training Accuracy: 90.734%
Epoch 22 Training Accuracy: 91.502%
Epoch 23 Training Accuracy: 92.594%
Epoch 24 Training Accuracy: 93.084%
Epoch 25 Training Accuracy: 93.356%
Epoch 26 Training Accuracy: 94.41%
Epoch 27 Training Accuracy: 94.388%
Epoch 28 Training Accuracy: 95.234%
Epoch 29 Training Accuracy: 95.418%
Epoch 30 Training Accuracy: 95.708%
Epoch 31 Training Accuracy: 96.018%
Epoch 32 Training Accuracy: 96.248%
Epoch 33 Training Accuracy: 96.582%
Epoch 34 Training Accuracy: 96.51%
Epoch 35 Training Accuracy: 96.97%
Epoch 36 Training Accuracy: 96.638%
Epoch 37 Training Accuracy: 97.416%
Epoch 38 Training Accuracy: 97.272%
Epoch 39 Training Accuracy: 97.624%
Epoch 40 Training Accuracy: 97.762%
Epoch 41 Training Accuracy: 97.572%
Epoch 42 Training Accuracy: 97.846%
Epoch 43 Training Accuracy: 97.582%
Epoch 44 Training Accuracy: 98.114%
Epoch 45 Training Accuracy: 98.224%
Epoch 46 Training Accuracy: 98.324%
Epoch 47 Training Accuracy: 97.908%
Epoch 48 Training Accuracy: 98.02%
Epoch 49 Training Accuracy: 98.322%
Epoch 50 Training Accuracy: 98.5%
Epoch 51 Training Accuracy: 98.196%
Epoch 52 Training Accuracy: 98.666%
Epoch 53 Training Accuracy: 98.94%
Epoch 54 Training Accuracy: 98.878%
Epoch 55 Training Accuracy: 98.934%
Epoch 56 Training Accuracy: 98.602%
Epoch 57 Training Accuracy: 98.782%
Epoch 58 Training Accuracy: 98.976%
Epoch 59 Training Accuracy: 98.95%
Epoch 60 Training Accuracy: 99.094%
Epoch 61 Training Accuracy: 99.168%
Epoch 62 Training Accuracy: 98.984%
Epoch 63 Training Accuracy: 99.038%
Epoch 64 Training Accuracy: 99.15%
Epoch 65 Training Accuracy: 99.082%
Epoch 66 Training Accuracy: 99.1%
Epoch 67 Training Accuracy: 98.93%
Epoch 68 Training Accuracy: 98.894%
Epoch 69 Training Accuracy: 99.126%
Epoch 70 Training Accuracy: 98.996%
Epoch 71 Training Accuracy: 99.206%
Epoch 72 Training Accuracy: 99.296%
Epoch 73 Training Accuracy: 99.39%
Epoch 74 Training Accuracy: 99.19%
Epoch 75 Training Accuracy: 99.116%
Epoch 76 Training Accuracy: 99.282%
Epoch 77 Training Accuracy: 99.384%
Epoch 78 Training Accuracy: 99.224%
Epoch 79 Training Accuracy: 99.4%
Epoch 80 Training Accuracy: 99.26%
Epoch 81 Training Accuracy: 99.224%
Epoch 82 Training Accuracy: 99.46%
Epoch 83 Training Accuracy: 99.3%
Epoch 84 Training Accuracy: 99.392%
Epoch 85 Training Accuracy: 99.518%
Epoch 86 Training Accuracy: 99.166%
Epoch 87 Training Accuracy: 99.412%
Epoch 88 Training Accuracy: 99.59%
Epoch 89 Training Accuracy: 99.59%
Epoch 90 Training Accuracy: 99.56%
Epoch 91 Training Accuracy: 99.516%
Epoch 92 Training Accuracy: 99.494%
Epoch 93 Training Accuracy: 99.238%
Epoch 94 Training Accuracy: 99.492%
Epoch 95 Training Accuracy: 99.41%
Epoch 96 Training Accuracy: 99.516%
Epoch 97 Training Accuracy: 99.51%
Epoch 98 Training Accuracy: 99.436%
Epoch 99 Training Accuracy: 99.208%
Epoch 100 Training Accuracy: 99.594%
Finished Training
Training Time : 3478.679961681366
Final Training Loss: 0.012313572666955777
Final Training Accuracy: 99.594%
Memory used for training: 2267090 Bytes
Saving the model as ResNet_CIFAR10_100_2GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 62.53%
Test Loss: 2.806009259952861
