cuda:0
Files already downloaded and verified
Files already downloaded and verified
Epoch 1 Training Accuracy: 23.542%
Epoch 2 Training Accuracy: 34.898%
Epoch 3 Training Accuracy: 41.06%
Epoch 4 Training Accuracy: 45.756%
Epoch 5 Training Accuracy: 49.71%
Epoch 6 Training Accuracy: 52.68%
Epoch 7 Training Accuracy: 55.716%
Epoch 8 Training Accuracy: 58.872%
Epoch 9 Training Accuracy: 61.89%
Epoch 10 Training Accuracy: 64.94%
Epoch 11 Training Accuracy: 67.652%
Epoch 12 Training Accuracy: 70.842%
Epoch 13 Training Accuracy: 73.55%
Epoch 14 Training Accuracy: 75.952%
Epoch 15 Training Accuracy: 79.096%
Epoch 16 Training Accuracy: 80.74%
Epoch 17 Training Accuracy: 82.94%
Epoch 18 Training Accuracy: 84.888%
Epoch 19 Training Accuracy: 86.246%
Epoch 20 Training Accuracy: 88.154%
Epoch 21 Training Accuracy: 89.342%
Epoch 22 Training Accuracy: 90.332%
Epoch 23 Training Accuracy: 91.008%
Epoch 24 Training Accuracy: 91.52%
Epoch 25 Training Accuracy: 92.42%
Epoch 26 Training Accuracy: 93.286%
Epoch 27 Training Accuracy: 93.82%
Epoch 28 Training Accuracy: 94.642%
Epoch 29 Training Accuracy: 95.012%
Epoch 30 Training Accuracy: 94.592%
Epoch 31 Training Accuracy: 95.218%
Epoch 32 Training Accuracy: 96.322%
Epoch 33 Training Accuracy: 96.004%
Epoch 34 Training Accuracy: 96.134%
Epoch 35 Training Accuracy: 96.54%
Epoch 36 Training Accuracy: 96.818%
Epoch 37 Training Accuracy: 97.186%
Epoch 38 Training Accuracy: 96.946%
Epoch 39 Training Accuracy: 97.05%
Epoch 40 Training Accuracy: 97.56%
Epoch 41 Training Accuracy: 97.53%
Epoch 42 Training Accuracy: 97.638%
Epoch 43 Training Accuracy: 97.79%
Epoch 44 Training Accuracy: 97.752%
Epoch 45 Training Accuracy: 97.552%
Epoch 46 Training Accuracy: 97.902%
Epoch 47 Training Accuracy: 98.418%
Epoch 48 Training Accuracy: 98.296%
Epoch 49 Training Accuracy: 98.282%
Epoch 50 Training Accuracy: 98.512%
Epoch 51 Training Accuracy: 98.526%
Epoch 52 Training Accuracy: 98.456%
Epoch 53 Training Accuracy: 98.514%
Epoch 54 Training Accuracy: 98.752%
Epoch 55 Training Accuracy: 98.592%
Epoch 56 Training Accuracy: 98.5%
Epoch 57 Training Accuracy: 98.49%
Epoch 58 Training Accuracy: 98.678%
Epoch 59 Training Accuracy: 98.764%
Epoch 60 Training Accuracy: 98.794%
Epoch 61 Training Accuracy: 98.862%
Epoch 62 Training Accuracy: 98.876%
Epoch 63 Training Accuracy: 98.902%
Epoch 64 Training Accuracy: 99.152%
Epoch 65 Training Accuracy: 99.082%
Epoch 66 Training Accuracy: 99.03%
Epoch 67 Training Accuracy: 99.062%
Epoch 68 Training Accuracy: 99.004%
Epoch 69 Training Accuracy: 99.056%
Epoch 70 Training Accuracy: 99.188%
Epoch 71 Training Accuracy: 99.094%
Epoch 72 Training Accuracy: 99.216%
Epoch 73 Training Accuracy: 99.222%
Epoch 74 Training Accuracy: 99.366%
Epoch 75 Training Accuracy: 99.25%
Epoch 76 Training Accuracy: 99.124%
Epoch 77 Training Accuracy: 99.348%
Epoch 78 Training Accuracy: 99.212%
Epoch 79 Training Accuracy: 99.26%
Epoch 80 Training Accuracy: 99.178%
Epoch 81 Training Accuracy: 99.258%
Epoch 82 Training Accuracy: 99.368%
Epoch 83 Training Accuracy: 99.216%
Epoch 84 Training Accuracy: 99.376%
Epoch 85 Training Accuracy: 99.37%
Epoch 86 Training Accuracy: 99.36%
Epoch 87 Training Accuracy: 99.514%
Epoch 88 Training Accuracy: 99.446%
Epoch 89 Training Accuracy: 99.49%
Epoch 90 Training Accuracy: 99.492%
Epoch 91 Training Accuracy: 99.472%
Epoch 92 Training Accuracy: 99.42%
Epoch 93 Training Accuracy: 99.476%
Epoch 94 Training Accuracy: 99.48%
Epoch 95 Training Accuracy: 99.568%
Epoch 96 Training Accuracy: 99.608%
Epoch 97 Training Accuracy: 99.62%
Epoch 98 Training Accuracy: 99.546%
Epoch 99 Training Accuracy: 99.556%
Epoch 100 Training Accuracy: 99.564%
Finished Training
Training Time : 2051.308817386627
Final Training Loss: 0.01326136279951238
Final Training Accuracy: 99.564%
Memory used for training: 2255803 Bytes
Saving the model as ResNet_CIFAR10_100_4GPUs.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified
Test Accuracy: 56.5%
Test Loss: 3.437426633472684
